layer_value;layer_name;style_value;style_name
10m_phreatic_summer;Grundvandsdybde (Sommer);default;Standard (Default)
10m_phreatic_summer_deep;Grundvandsdybde Sommer (Dyb);default;Standard (Default)
10m_phreatic_summer_shallow;Grundvandsdybde Sommer (Lav);default;Standard (Default)
10m_phreatic_winter;Grundvandsdybde (Vinter);default;Standard (Default)
10m_phreatic_winter_deep;Grundvandsdybde Vinter (Dyb);default;Standard (Default)
10m_phreatic_winter_shallow;Grundvandsdybde Vinter (Lav);default;Standard (Default)
middelfejl_kal;Middelfejl Kalibrering (2000-2010);default;Standard (Default)
middelfejl_val1;Middelfejl Validering (1990-1999);default;Standard (Default)
middelfejl_val2;Middelfejl Validering (2011-2019);default;Standard (Default)
